id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16975092,Breezy Newport 2 Bedroom Apartment,50963981,Kitty,,Pittwater,-33.65428461386841,151.31982666143966,Entire home/apt,105,1,0,,,1,64
85050,Whale Beach Bed & Breakfast,465560,Elaine,,Pittwater,-33.62093674233936,151.33499903472585,Private room,150,2,4,2017-02-24,0.13,10,363
17180014,Funky space moments from the beach,7902497,Ryan,,Pittwater,-33.653604504030035,151.31996069368273,Entire home/apt,125,2,0,,,1,100
909118,Tranquil Avalon Beach Cottage,4874588,Heidi,,Pittwater,-33.63672444570178,151.3223573873662,Entire home/apt,100,2,82,2017-03-30,1.66,1,344
4652541,Sunny Beachside Apartment,24083976,Sophie,,Pittwater,-33.635945918220244,151.3233416007534,Entire home/apt,83,2,48,2016-03-24,1.97,1,0
11045671,Tranquil Bilgola Poolside Retreat,57323247,Caitlin,,Pittwater,-33.648025946621324,151.31359473479145,Entire home/apt,390,7,2,2017-01-03,0.60,1,25
13497494,Newport Beach Holiday Retreat,77408995,Kelly,,Pittwater,-33.65181149250256,151.32251788022236,Entire home/apt,250,2,3,2017-01-28,0.90,1,101
5894600,Modern Townhouse Mona Vale village,30613955,Tony And Colette,,Pittwater,-33.6772944492997,151.30831956560658,Entire home/apt,850,2,0,,,1,0
7663288,Avalon Central Holiday Apartment,40226002,Sam,,Pittwater,-33.63206924139188,151.3280361620755,Entire home/apt,141,2,6,2017-01-28,0.33,1,344
6278245,Barrenjoey Villa-ContemporaryHotels,3046924,Contemporary Hotels + Beach Houses,,Pittwater,-33.61258422530128,151.32683784347807,Entire home/apt,1000,2,4,2017-02-04,0.29,34,327
15525086,"Pet friendly, pool, 2 living spaces, 3 bedrooms",99822741,Alison,,Pittwater,-33.6772673737445,151.2953936900243,Entire home/apt,250,4,1,2017-01-03,0.33,1,1
10272778,Scotland Island family beach house,32465309,Greg,,Pittwater,-33.6383991229631,151.29577394333637,Entire home/apt,399,2,5,2017-03-12,0.39,1,337
9494426,Family Fun at the Beach,37561117,Melinda,,Pittwater,-33.62696707830348,151.32888910941136,Entire home/apt,1000,7,1,2016-12-15,0.27,1,362
9632154,Avalon beach house with pool,25333548,Sue,,Pittwater,-33.61847835997198,151.3315160550978,Entire home/apt,570,7,0,,,1,0
11532982,Betty's Beach House,24682014,Rodger,,Pittwater,-33.6009577693233,151.31800521944223,Entire home/apt,451,2,7,2017-01-28,0.79,1,351
11722615,Bangallys - Avalon Beach NBH,30021442,Northern Beaches Holidays,,Pittwater,-33.62695389430081,151.33797361947285,Entire home/apt,750,2,1,2016-11-26,0.23,34,270
13099178,AMBLESIDE ON PITTWATER - the perfect getaway!,30021442,Northern Beaches Holidays,,Pittwater,-33.627256020332055,151.3184289276018,Entire home/apt,551,2,10,2017-02-04,1.02,34,208
13625600,Kokomo Beach House-walk to beach,1314935,Penny,,Pittwater,-33.600436027652556,151.3253897590846,Entire home/apt,487,2,8,2017-03-18,0.89,1,354
14672423,Beachside Golden Triangle,69755154,Greg,,Pittwater,-33.65907387049123,151.32050169716317,Entire home/apt,501,6,3,2017-01-21,0.45,1,186
15859145,Skylarks at Coaster's Retreat,58671947,Ann,,Pittwater,-33.60302983261526,151.30130615071565,Entire home/apt,300,2,6,2017-04-02,1.37,1,358
